Sex,Treatment,Account,Species,date,Likes,Block,Impression,Reach,biominal_right,proportion
F,E,BeakandBeauty ,Ribbon-tailed astrapia,22.12.2023,0,5,0,0,0,0
M,M,TheFeathered_Life ,Reeve's pheasant ,26.12.2023,0,1,0,0,0,0
F,F,Feathered_Fables,Reeve's pheasant ,26.12.2023,0,1,1,1,0,0
M,E,Chirp_Chronicles,Reeve's pheasant ,26.12.2023,0,1,0,0,0,0
M,M,Winged_Wonderss,Wood duck ,26.12.2023,0,2,0,0,0,0
F,F,beak_beyond (F2),Wood duck ,26.12.2023,0,2,0,0,0,0
F,E,Birds_near_you011,Wood duck ,26.12.2023,0,2,0,0,0,0
M,M,plumageparadise,Red crested pochard ,26.12.2023,0,3,0,0,0,0
F,F,_Feathered_Fotos,Red crested pochard ,26.12.2023,0,3,0,0,0,0
M,E,SkywardSquad ,Red crested pochard ,26.12.2023,0,3,0,0,0,0
M,M,Bird.NerdNation ,Superb Parrot,26.12.2023,0,4,0,0,0,0
F,F,Birding_bliss23,Superb Parrot,26.12.2023,0,4,0,0,0,0
M,E,Feathered_wonder_ss,Superb Parrot,26.12.2023,0,4,0,0,0,0
M,M,The_majestic_winged ,Gang-gang Cockatoo ,26.12.2023,0,5,0,0,0,0
F,F,_Avian_Adventures,Gang-gang Cockatoo ,26.12.2023,0,5,0,0,0,0
F,E,BeakandBeauty ,Gang-gang Cockatoo ,26.12.2023,0,5,0,0,0,0
M,M,TheFeathered_Life ,Purple-rumped Sunbird ,29.12.2023,0,1,0,0,0,0
F,F,Feathered_Fables,Purple-rumped Sunbird ,29.12.2023,0,1,1,1,0,0
F,E,Chirp_Chronicles,Purple-rumped Sunbird ,29.12.2023,0,1,0,0,0,0
M,M,Winged_Wonderss,Twelve-wired bird of Paradise ,29.12.2023,0,2,0,0,0,0
F,F,beak_beyond (F2),Twelve-wired bird of Paradise ,29.12.2023,0,2,0,0,0,0
M,E,Birds_near_you011,Twelve-wired bird of Paradise ,29.12.2023,0,2,0,0,0,0
M,M,plumageparadise,Superb Parrot,29.12.2023,0,3,0,0,0,0
F,F,_Feathered_Fotos,Superb Parrot,29.12.2023,0,3,0,0,0,0
F,E,SkywardSquad ,Superb Parrot,29.12.2023,0,3,0,0,0,0
M,M,Bird.NerdNation ,Eclectus parrot,29.12.2023,0,4,0,0,0,0
F,F,Birding_bliss23,Eclectus parrot,29.12.2023,0,4,1,1,0,0
M,E,Feathered_wonder_ss,Eclectus parrot,29.12.2023,0,4,0,0,0,0
M,M,The_majestic_winged ,Dusky grouse ,29.12.2023,0,5,0,0,0,0
F,F,_Avian_Adventures,Dusky grouse ,29.12.2023,0,5,0,0,0,0
F,E,BeakandBeauty ,Dusky grouse ,29.12.2023,0,5,0,0,0,0
